id_recette,nom_recette,origine,caracteristique,preference,parts,id_ingredient
1,porc_caramel,chine,plat,épicé,4,"83, 20, 3, 5, 84, 55, 58"
2,soupe_raviolis,chine,plat,salé,4,"52, 85, 39, 62, 63, "
3,fondu_sichuan,chine,plat,épicé,8,"86, 87, 5, 1, 88, 3, 58, 89, 12, 39, 10"
4,riz_cantonnais,chine,plat,salé,4,"50, 86, 90, 1, 88, 6, 12, 21"
5,mapo_tofu,chine,plat,épicé,3,"56, 91, 52, 6, 55, 47, 39, 76"
6,crêpe_chinoise,chine,patisserie,salé,4,"1, 2, 20, 5, 6, 92, 93, 62"
7,Gungjung-tteokbokki,corée,plat,épicé,4,"94, 18, 6, 53, 95, 20, 39, 52, 12, 1, 3, 58, 47, 21"
8,Kimchi-jjigae,corée,soupe,épicé,4,"96, 56, 39, 63, 91, 47, 55, 6, 97, 40, 21, 12"
9,nasi_goreng,indonésie,plat,salé,4,"58, 60, 1, 47, 20, 86, 50, 55, 98"
10,sayur_kari,indonésie,plat,salé,2,"99, 100, 62, 12, 86, 39, 6, 50, 101, 102, 76, 55, 47, 91"
11,tiramisu,italie,patisserie,sucré,8,"01, 34, 33, 35, 36, 38, 43"
12,pâte_carbonara,italie,plat,salé,4,"44, 45, 01, 46, 49, 21, 12"
13,lasagne_bolognaise,italie,plat,salé,4,"44, 47, 20, 40, 18, 06, 49, 13, 02, 08, 12, 21"
14,bibimbap,corée,plat,salé,6,"50, 19, 51, 52, 53, 54, 47, 55, 18, 01, 58, 06, 34, 59, 60"
15,pho,vietnam,plat,salé,4,"18, 61, 55, 39, 62, 63, 57, 64, 41"
16,boeuf_bourguignon,france,plat,salé,4,"18, 20, 19, 22, 23, 66, 08, 12, 21"
17,schichttorte,allemagne,patisserie,sucré,8,"01, 13, 08, 67, 68, 02, 29, 10, 28, 05, 43, 69, 09, 70"
18,quiche_lorraine,france,entrée,salé,4,"31, 45, 08, 01, 46, 13, 71, 12, 21"
19,ratatouille,france,plat,salé,4,"20, 72, 51, 40, 47, 73, 21, 12, 74"
20,koulibiac_saumon_épinard_comté,russe,plat,salé,4,"75, 76, 12, 21, 77, 50, 78, 79, 80, 01, 81, 82, 24"
21,kasutera,japon portugual,patisserie,sucré,4,"01, 02, 03, 04, 05, 06"
22,tarte_citron_meringue,france,patisserie,sucré,6,"02, 08, 03, 01, 05, 12, 10, 11, 07"
23,gateau_chocolat,occidental,patisserie,sucré,6,"09, 08, 01, 02, 03"
24,éclair_au_chocolat,france,patisserie,sucré,10,"02, 13, 08, 09, 01, 03, 05, 12, 06"
25,melon_pan,japon,patisserie,sucré,5,"08, 03, 01, 02, 07, 13, 05, 12"
26,pancakes,angleterre,patisserie,sucré,2,"01, 03, 06, 02, 07, 13"
27,buche_noël,pays francophones,patisserie,sucré,4,"01, 03, 02, 07, 09, 08"
28,churros,espagne,patisserie,sucré,6,"05, 02, 25, 26, 06"
29,mochi_glacé,japon,patisserie,sucré,8,"27, 03, 05, 28, 29, 30"
30,tarte_pommes,france,patisserie,sucré,6,"31, 32, 33, 8"
31,feijoada,portugal,plat,salé,5,"12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
32,tajine_agneau_abricots,maroc,plat,salé,4,"103, 104, 105, 106, 107, 20, 06, 62, 55, 21, 12"
33,fish_pie,angleterre,plat,salé,6,"108, 109, 110, 111, 112, 102, 13, 49, 21, 71, 12, 77, 86, 10, 88, 26"
34,velouté_potiron_carottes,france,entrée,salé,4,"113, 19, 102, 47, 20, 13, 84, 73, 88, 21, 12, 71, 82"
35,gaspacho,espagne,entrée,salé,6,"114, 115, 116, 117, 118, 119, 40, 20, 47, 01, 73, 21, 39, 12"
36,tzatziki,grèce,appéritif,salé,2,"116, 47, 62, 120, 73, 121, 21, 12"
37,gnocchi,italie,plat,salé,4,"122, 102, 02, 01, 73, 08, 71, 21, 12, 119"
38,risotto,italie,plat,salé,4,"123, 75, 73, 20, 26, 84, 122"
39,galette_pomme_de_terre,pologne,plat,salé,2,"01, 21, 12, 02, 102"
40,empanadas_de_carne,argentine,plat,salé,4,"31, 18, 20, 24, 100, 124, 3, 125, 126, 104"
41,som_tam,thailande,salade,épicé,4,"10, 19, 37, 39, 40, 42, 47, 48"
42,khao_niao_mamouang,thailande,dessert,sucré,2,"12, 99, 128, 132"
43,khao_soy,thailande,soupe,salé,4,"20, 38, 39, 41, 42, 47, 57, 61, 62, 98, 99, 133, 136"
44,khao_mankai,thailande,plat,salé,4,"12, 21, 47, 50, 62, 97, 98"
45,laap,laos,salade,épicé,1,"18, 39, 41, 47, 55, 61, 63, 76, 120, 132"
46,yam_somo,thailande,salade,épicé,4,"12, 39, 41, 42, 47, 48, 61, 62, 76, 86, 127, 134, 135"
47,hotteok,corée,dessert,sucré,2,"1, 2, 3, 4, 6, 7, 12, 13, 48, 106, 129, 131"
48,kanelbullar,suède,patisserie,sucré,20,"1, 2, 3, 7, 8, 13, 106"
49,hasselback_potatoes,suède,plat,épicé,4,"8, 12, 21, 22, 24, 73, 102, 124, 130"
50,Stegtflæsk_persillesovs,danemark,plat,salé,4,
