id_ingredient,nom_ingredient,genre
1,oeufs,oeufs
2,farine,farine
3,sucre,sucre
4,miel,sucre
5,eau,liquide
6,huile,graisse
7,levure,levure
8,beurre,graisse
9,chocolat,arôme
10,citron,fruit
11,sucre_glace,sucre
12,sel,épice
13,lait,laitier
14,haricot_rouge,légume
15,saucisse,viande
16,chorizo,viande
17,poitrine_fumée,viande
18,boeuf,viande
19,carotte,légume
20,oignon,légume
21,poivre,épice
22,thym,herbe
23,laurier,herbe
24,paprika,épice
25,fleur_oranger,arôme
26,safran,épice
27,farine_riz_gluant,farine
28,confiture,sucre/fruit
29,fecule_mais,farine
30,glace,crème glacée
31,pate_brisée,pâte
32,pomme,fruit
33,sucre_vanillé,sucre
34,sucre_roux,sucre
35,mascarpone,fromage
36,biscuit_cuillère,gâteau
37,papaye_verte,fruit
38,café,épice
39,piment,épice
40,tomate,fruit
41,sauce_poisson,sauce
42,sucre_palme,sucre
43,poudre_cacao,épice
44,pâte,pâte
45,lardon,viande
46,crème_fraîche,crème
47,ail,condiment
48,cacahuète,arachide
49,gruyère,fromage
50,riz,céréale
51,courgette,légume
52,germe_soja,légume
53,champignon_shiitaké,champignon
54,pousse_épinard,légume
55,gingembre,condiment
56,filet_de_porc,viande
57,nouilles_riz,pâte
58,sauce_soja,condiment
59,vinaigre_riz,condiment
60,huile_sésame,graisse
61,citron_vert,fruit
62,coriandre,herbe
63,ciboulette,herbe
64,cube_bouillon,préparation_culinaire
65,badiane,épice
66,vin_rouge,liquide
67,sucre_semoule,sucre
68,gousse_vanille,épice
69,crème_fleurette,crème
70,gélatine,
71,muscade,épice
72,aubergine,légume
73,huile_olive,graisse
74,herbe_provence,herbe
75,vin_blanc,liquide
76,échalote,condiment
77,saumon,poisson
78,épinard,légume
79,pâte_feuilleté,pâte
80,comté,fromage
81,macvin,fromage
82,crème_liquide,crème
83,filet_mignon,viande
84,bouillon_poulet,préparation_culinaire
85,raviolis_chinois,plat_préparé
86,crevette,fruit_de_mer
87,foie_veau,viande
88,persil,herbe
89,rognons_porc,viande
90,jambon ,viande
91,tofu,graine
92,canard,viande
93,soupe_sésames,épice
94,pâte_de_riz,pâte
95,carrot,légume
96,chou_chinois,légume
97,radis_blanc,légume
98,blanc_de_poulet,viande
99,lait_coco,laitier
100,cumin,épice
101,haricot_vert,légume
102,pomme_de_terre,légume
103,abricot,fruit
104,raisin,fruit
105,agneau,viande
106,cannelle,épice
107,clou_de_girofle,épice
108,crème_épaisse,crème
109,colin,poisson
110,haddock,poisson
111,bouillon_poisson,preparation_culinaire
112,épinard,légume
113,potiron,légume
114,poivron_rouge,légume
115,poivron_vert,légume
116,concombre,légume
117,vinaigre,condiment
118,tranche_pain,pain
119,basilic,herbe
120,menthe,herbe
121,yahourt,laitier
122,parmesan,fromage
123,riz_pour_risotto,riz
124,origan,herbe
125,concentré_tomate,condiment
126,bouillon_viande,préparation_culinaire
127,pomelo,fruit
128,mangue,fruit
129,noix,fruit
130,romarin,herbe
131,sucre_brun,sucre
132,riz_gluant,céréale
133,curcuma,épice
134,échine_porc,viande
135,batavia,légume
136,pate_curry_rouge,condiment
137,poitrine_porc,viande
